,ZIPcode,TaxRateArea_CITY,AIN,RollYear,TaxRateArea,AssessorID,PropertyLocation,PropertyType,PropertyUseCode,GeneralUseType,SpecificUseType,SpecificUseDetail1,SpecificUseDetail2,totBuildingDataLines,YearBuilt,EffectiveYearBuilt,SQFTmain,Bedrooms,Bathrooms,Units,RecordingDate,LandValue,LandBaseYear,ImprovementValue,ImpBaseYear,TotalLandImpValue,HomeownersExemption,RealEstateExemption,FixtureValue,FixtureExemption,PersonalPropertyValue,PersonalPropertyExemption,isTaxableParcel?,TotalValue,TotalExemption,netTaxableValue,SpecialParcelClassification,AdministrativeRegion,Cluster,ParcelBoundaryDescription,HouseNo,HouseFraction,StreetDirection,StreetName,UnitNo,City,ZIPcode5,rowID,CENTER_LAT,CENTER_LON,Location 1
581,91501-1545,BURBANK    ,5620001011,2017,2530,5620-001-011,1060 E PROVIDENCIA AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1249,2,1,1,20110718,102441,1979,112200,1979,214641,7000,0,0,0,0,0,Y,214641,7000,207641, ,3,3182,TRACT NO 3545 SW 50 FT MEASURED ON SE LINE OF LOT    7,1060, ,E,PROVIDENCIA AVE, ,BURBANK CA,91501,20175600000000.0,34.18789248,-118.2918912,"(34.18789248, -118.29189116)"
608,91501-1518,BURBANK    ,5620003008,2017,2530,5620-003-008,620 S BEL AIRE DR  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1943,1709,3,2,1,20061024,37997,1975,50888,1975,88885,7000,0,0,0,0,0,Y,88885,7000,81885, ,3,3182,TRACT NO 3514 SE 16 FT OF SW 180 FT OF LOT 2 AND NW 34 FT OF SW 180 FT OF LOT    3,620, ,S,BEL AIRE DR, ,BURBANK CA,91501,20175600000000.0,34.18630587,-118.2930615,"(34.18630587, -118.29306150)"
627,91501-1534,BURBANK    ,5620004004,2017,2530,5620-004-004,1014 E ELMWOOD AVE  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1952,1496,3,2,1,20020611,365317,2002,156559,2002,521876,7000,0,0,0,0,0,Y,521876,7000,514876, ,3,3182,TRACT NO 3514 SW 50 FT OF NE 200 FT MEASURED ON NW LINE OF LOT    7,1014, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.18555519,-118.291503,"(34.18555519, -118.29150299)"
628,91501-1534,BURBANK    ,5620004005,2017,2530,5620-004-005,1010 E ELMWOOD AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1950,1754,3,2,1,20030815,211611,1994,162442,1994,374053,7000,0,0,0,0,0,Y,374053,7000,367053, ,3,3182,TRACT NO 3514 LOT COM S 31¢18'50'' W 200 FT FROM MOST N COR OF LOT 7 TH S 58¢41' 10'' E TO SE LINE OF SD LOT TH S 41¢15'50'' W 12.52 MORE OR LESS FT TH N 58¢41'10'' W 50 FT TH S 41¢15'50'' W 48.50 FT TH N 58¢ 41'10'' W 95.21 FT TO NW LINE OF SD LOT TH NE THEREON 60 FT TO BEG PART OF LOT    7,1010, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.18546389,-118.2916569,"(34.18546389, -118.29165685)"
629,91501-1534,BURBANK    ,5620004006,2017,2530,5620-004-006,1004 E ELMWOOD AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1185,2,1,1,20050311,376517,2001,129828,2001,506345,0,0,0,0,0,0,Y,506345,0,506345, ,3,3182,TRACT NO 3514 LOT ON SE LINE OF ELMWOOD AVE COM SW THEREON 260 FT FROM NE LINE OF LOT 7 TH S 58¢41'10'' E 95.21 FT TH S 41¢ 15'50'' W TO SW LINE OF SD LOT TH NW ON BDRY LINE OF SD LOT TO BEG PART OF LOT    7,1004, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.1852984,-118.29180649999999,"(34.18529840, -118.29180647)"
665,91501-1534,BURBANK    ,5620005018,2017,2530,5620-005-018,1050 E ELMWOOD AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1970,2796,3,3,1,20070523,923524,2007,173157,2007,1096681,0,0,0,0,0,0,Y,1096681,0,1096681, ,3,3182,TRACT # 3545 NE 50 FT OF NW 150 FT OF LOT   20,1050, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.18661708,-118.29074270000001,"(34.18661708, -118.29074271)"
666,91501-1534,BURBANK    ,5620005019,2017,2530,5620-005-019,1046 E ELMWOOD AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1038,2,1,1,20020827,393842,2003,117797,2003,511639,0,0,0,0,0,0,Y,511639,0,511639, ,3,3182,TRACT # 3545 SW 50 FT OF NW 150 FT OF LOT   20,1046, ,E,ELMWOOD AVE, ,BURBANK CA,91501,20175600000000.0,34.18649966,-118.29082859999998,"(34.18649966, -118.29082856)"
716,91501-1527,BURBANK    ,5620017012,2017,2530,5620-017-012,911 E CEDAR AVE  BURBANK CA  91501,SFR,101,Residential,Single Family Residence, ,Pool,1,1941,1944,1714,3,2,1,20160830,318715,1998,172900,1998,491615,7000,0,0,0,0,0,Y,491615,7000,484615, ,3,3182,TRACT NO 9263 LOT   10,911, ,E,CEDAR AVE, ,BURBANK CA,91501,20175600000000.0,34.18518063,-118.29415049999999,"(34.18518063, -118.29415052)"
718,91501-1527,BURBANK    ,5620017014,2017,2530,5620-017-014,901 E CEDAR AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1344,2,1,1,20071220,565884,2008,130149,2008,696033,0,0,0,0,0,0,Y,696033,0,696033, ,3,3182,TRACT NO 9263 1/2 VAC ALLEY ADJ ON SW AND LOT   12,901, ,E,CEDAR AVE, ,BURBANK CA,91501,20175600000000.0,34.184971999999995,-118.29437279999999,"(34.18497200, -118.29437283)"
728,91501-1525,BURBANK    ,5620018001,2017,2530,5620-018-001,843 E CEDAR AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1946,2450,4,3,1,20120615,448596,2012,255953,2012,704549,0,0,0,0,0,0,Y,704549,0,704549, ,3,3182,TRACT NO 9263 1/2 VAC ALLEY ADJ ON NE AND LOT   13,843, ,E,CEDAR AVE, ,BURBANK CA,91501,20175600000000.0,34.18485464,-118.2944892,"(34.18485464, -118.29448922)"
732,91501-1525,BURBANK    ,5620018005,2017,2530,5620-018-005,827 E CEDAR AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1941,1124,2,1,1,20060210,36517,1975,31445,1975,67962,7000,0,0,0,0,0,Y,67962,7000,60962, ,3,3182,TRACT NO 9263 LOT   17,827, ,E,CEDAR AVE, ,BURBANK CA,91501,20175600000000.0,34.18443571,-118.2949325,"(34.18443571, -118.29493249)"
735,91501-1525,BURBANK    ,5620018008,2017,2530,5620-018-008,815 E CEDAR AVE  BURBANK CA  91501,SFR,100,Residential,Single Family Residence, , ,1,1941,1950,1955,3,3,1,20090716,502831,2010,297960,2010,800791,7000,0,0,0,0,0,Y,800791,7000,793791, ,3,3182,TRACT NO 9263 EX OF ALLEY LOT   20,815, ,E,CEDAR AVE, ,BURBANK CA,91501,20175600000000.0,34.18412588,-118.2952565,"(34.18412588, -118.29525654)"
